Selected,Face pair type,Face_A,Face_B,Edit type,Edit part,Edit level,Edit seed,LPIPS dist.,LPIPS target distr.,LPIPS diff.,Same ID,Face A pose number,Face B pose number,Face A ID,Face B ID
1,Featural,007_01_01_050_06,007_01_01_050_06,eye,EyeAngle,-25,,0.0004,0.001826592,0.001426592,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eye,EyeWidth,-75,,0.0024,0.011225082,0.008825082,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eye,,,47,0.0055,0.010818577,0.005318577,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eye,,,52,0.0063,0.011708406,0.005408406,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eye,,,33,0.0075,0.003875621,0.003624379,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eye,,,36,0.0099,0.005585005,0.004314995,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eye,,,35,0.0129,0.014256018,0.001356018,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eye,,,41,0.0162,0.013101259,0.003098741,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eyebrow,EyebrowWidth,25,,0.0006,0.00767815,0.00707815,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eyebrow,EyebrowLength,75,,0.0007,0.006945648,0.006245648,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eyebrow,,,10,0.0034,0.013424735,0.010024735,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eyebrow,,,48,0.0036,0.002523941,0.001076059,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eyebrow,,,24,0.0053,0.011322261,0.006022261,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eyebrow,,,28,0.0062,0.000847739,0.005352261,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eyebrow,,,56,0.008,0.013828724,0.005828724,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,eyebrow,,,16,0.0081,0.003386641,0.004713359,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,mouth,MouthPlump,25,,0.0006,0.010265357,0.009665357,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,mouth,MouthWidth,75,,0.0011,0.005345148,0.004245148,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,mouth,,,27,0.0036,0.013978357,0.010378357,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,mouth,,,21,0.004,0.010446959,0.006446959,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,mouth,,,34,0.0041,0.013496129,0.009396129,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,mouth,,,1,0.005,0.014779059,0.009779059,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,mouth,,,3,0.0051,0.011641576,0.006541576,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,mouth,,,58,0.0051,0.009908044,0.004808044,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,nose,NoseAla,-50,,0.0009,0.001040208,0.000140208,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,nose,NoseBridge,-75,,0.0012,0.007018737,0.005818737,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,nose,,,48,0.004,0.007381596,0.003381596,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,nose,,,43,0.0054,0.005751206,0.000351206,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,nose,,,10,0.0064,0.004156214,0.002243786,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,nose,,,46,0.007,0.004573024,0.002426976,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,nose,,,32,0.0112,0.001153648,0.010046352,Same,15,15,007,007
1,Featural,007_01_01_050_06,007_01_01_050_06,nose,,,5,0.0117,0.000963771,0.010736229,Same,15,15,007,007
1,Featural,011_01_01_051_08,011_01_01_051_08,eye,EyeAngle,25,,0.0004,0.012896335,0.012496335,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eye,EyeWidth,-75,,0.0016,0.013408818,0.011808818,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eye,,,10,0.0045,0.010161566,0.005661566,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eye,,,19,0.0052,0.013937485,0.008737485,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eye,,,9,0.0058,0.005807026,7.02648E-06,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eye,,,5,0.0063,0.00148979,0.00481021,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eye,,,3,0.0073,0.00598156,0.00131844,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eye,,,30,0.0102,0.007111232,0.003088768,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eyebrow,EyebrowWidth,-25,,0.0003,0.014669526,0.014369526,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eyebrow,EyebrowLength,75,,0.0007,0.000511191,0.000188809,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eyebrow,,,8,0.0039,0.008691643,0.004791643,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eyebrow,,,18,0.0045,0.003015386,0.001484614,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eyebrow,,,12,0.0055,0.010874445,0.005374445,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eyebrow,,,5,0.0064,0.012687092,0.006287092,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eyebrow,,,3,0.0093,0.005155961,0.004144039,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,eyebrow,,,10,0.0105,0.011478646,0.000978646,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,mouth,MouthWidth,-25,,0.0004,0.00036979,3.02097E-05,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,mouth,MouthPlump,75,,0.0014,0.002803876,0.001403876,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,mouth,,,3,0.0027,0.012791733,0.010091733,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,mouth,,,14,0.0034,0.007578708,0.004178708,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,mouth,,,28,0.0036,0.002611786,0.000988214,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,mouth,,,17,0.0043,0.000836433,0.003463567,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,mouth,,,19,0.0051,0.000541415,0.004558585,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,mouth,,,25,0.0056,0.007354505,0.001754505,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,nose,NoseAla,-25,,0.0003,0.00642796,0.00612796,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,nose,NoseBridge,75,,0.0006,0.0036979,0.0030979,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,nose,,,6,0.0036,0.001757809,0.001842191,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,nose,,,11,0.0041,0.001219572,0.002880428,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,nose,,,17,0.0044,3.23015E-05,0.004367699,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,nose,,,19,0.0053,0.010053688,0.004753688,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,nose,,,8,0.0077,0.002988514,0.004711486,Same,0,0,011,011
1,Featural,011_01_01_051_08,011_01_01_051_08,nose,,,5,0.0135,0.006683274,0.006816726,Same,0,0,011,011
1,Featural,012_01_01_140_07,012_01_01_140_07,eye,EyePupil,-25,,0.0006,0.007390754,0.006790754,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eye,EyeWidth,75,,0.0014,0.004056571,0.002656571,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eye,,,21,0.0055,0.002476399,0.003023601,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eye,,,53,0.0058,0.01149354,0.00569354,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eye,,,15,0.0066,0.008985915,0.002385915,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eye,,,30,0.0072,0.004278598,0.002921402,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eye,,,10,0.0081,0.012075037,0.003975037,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eye,,,40,0.0088,0.004731679,0.004068321,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eyebrow,EyebrowWidth,25,,0.0006,0.001530631,0.000930631,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eyebrow,EyebrowWidth,-75,,0.0011,0.012280003,0.011180003,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eyebrow,,,5,0.0035,0.012544239,0.009044239,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eyebrow,,,11,0.0039,0.012811215,0.008911215,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eyebrow,,,4,0.0042,0.00185885,0.00234115,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eyebrow,,,26,0.0058,0.002136931,0.003663069,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eyebrow,,,1,0.0073,0.010505363,0.003205363,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,eyebrow,,,20,0.0097,0.007652647,0.002047353,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,mouth,MouthWidth,25,,0.0006,0.013683404,0.013083404,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,mouth,MouthPlump,-75,,0.0016,0.010656973,0.009056973,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,mouth,,,40,0.0025,0.012414265,0.009914265,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,mouth,,,28,0.0035,0.001994979,0.001505021,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,mouth,,,14,0.0045,0.005972258,0.001472258,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,mouth,,,26,0.0055,0.005554273,5.42734E-05,Same,-15,-15,012,012
1,Featural,012_01_01_140_07,012_01_01_140_07,mouth,,,38,0.0065,0.007749426,0.001249426,Same,-15,-15,012,012
